,Title,Publised_date,Views,Likes,Comments
193,Exploring Cordapp,2021-05-01,7465,156,22
194,Corda Key Concepts,2021-04-29,7104,211,16
195,Exciting Announcement   Live,2021-04-28,11308,504,64
196,More about Corda   R3,2021-04-26,10732,306,24
197,"DevOps, Cloud, Java with In28Minutes   Live Q&A",2021-04-24,28714,973,31
198,MicroServices Q&A with JavaBrains   Live,2021-04-22,120954,3342,176
199,Ask Anything Live,2021-04-18,26127,1149,32
200,Rise of Ethereum   Altcoin,2021-04-11,11778,420,69
201,Live Not Alone,2021-04-10,59219,3197,171
202,Cracking the code - learn to code from scratch   LearningMarathon2021,2021-04-03,35946,2084,54
203,What is Corda?   Enterprise Blockchain,2021-04-02,23158,714,55
204,India 2024 Elections vote from Mobile?   Blockchain based E-Voting,2021-03-29,21704,719,30
205,Agile Scrum Basics   Live with Mohammed Rowther,2021-03-27,10332,431,15
206,What are NFTs?   Jack's Tweet sold for $3M,2021-03-24,14710,571,44
207,Live,2021-03-09,31194,1785,50
208,Best Programming Language for Beginners?,2021-01-30,130386,2908,284
209,Ethereum 2.0 is here   What's New   Why,2021-01-27,11654,420,52
210,Blockchain   Hyperledger Fabric Key Concepts - 2,2020-12-08,12859,255,118
211,Blockchain   Hyperledger Fabric Key Concepts - 1,2020-12-07,13668,290,33
212,Education Post Covid,2020-11-18,15235,691,69
213,Don’t steal their Childhood,2020-10-23,57471,3169,278
214,Ask Me Anything   Sunday Live,2020-10-04,26316,1392,110
215,Python for Data Science Live on Great Learning Academy,2020-08-21,31694,1225,115
216,Important Announcement Regarding Python Live Sessions,2020-08-13,26908,1125,109
217,Sunday Evening Live with Navin,2020-08-09,18244,873,64
218,Macbook Pro 2020 13 inch   is it worth it?,2020-07-27,42880,1238,220
219,Gold Button   Sunday Live,2020-07-19,40218,2368,265
220,Docker tutorial for Beginners,2020-07-16,139241,2751,102
221,Docker Installation on Windows,2020-07-15,31297,476,57
222,Telusko Live Stream,2020-07-12,21004,1064,73
223,Its a Million,2020-06-18,22928,1931,321
224,9 Books in 2 Months,2020-06-02,37845,1503,173
225,Node JS Tutorial   Crash Course,2020-05-29,199550,4105,215
226,Should I learn Deno or Node?,2020-05-20,12764,376,44
227,DENO is here   DONE with NODE?,2020-05-17,22909,784,107
228,How Node JS Works?,2020-05-15,135712,4715,223
229,CRUD REST API using Node   Express   MongoDB,2020-05-10,261148,5072,346
230,Express in Node js   Web Framework,2020-05-04,107416,2678,150
231,Telusko 6th Anniversary,2020-04-30,9621,1042,290
232,fs (File System) Module in Node JS,2020-04-28,69135,1286,82
233,Modules in Node JS,2020-04-27,56774,1342,64
234,What is NPM?   Node JS,2020-04-26,85799,2003,86
235,Learning 3X,2020-04-25,22653,1015,89
236,Getting Started with Node JS,2020-04-24,121895,2502,164
237,Node JS Installation,2020-04-22,337062,4222,183
238,What is Node js?   Simplified Explanation,2020-04-20,511425,15668,752
239,ONLINE Education 2.0   Live,2020-04-16,9987,334,39
240,Dockerize Django App,2020-04-14,36041,665,61
241,Creating Django App on Docker,2020-04-13,48847,849,58
242,Java 14   IntelliJ IDEA   Telusko Edutech,2020-04-11,7880,188,24
243,Docker Architecture   Components,2020-04-07,35442,613,44
244,Sunday Live (Ask Anything),2020-04-05,7080,407,51
245,Docker Pull   Delete   Ubuntu Image,2020-04-03,19217,267,18
246,Docker Installation On Ubuntu?   Linux,2020-04-02,56744,656,45
247,What is Docker?,2020-03-31,395259,10982,490
248,DLT vs Blockchain vs Bitcoin,2020-03-06,20350,651,72
249,Sunday Live   Ask Anything,2020-02-23,8234,300,51
250,Angular for Beginners   Shalini Mittal,2020-02-22,69755,1442,81
251,Abstract Class and Abstract Method in Python,2020-02-21,246772,4609,258
252,Zip Function in Python,2020-02-20,100024,2387,70
253,Sunday Live   Ask Anything,2020-02-16,6912,284,28
254,Sunday Live,2020-02-02,7969,338,29
255,Top 5 Programming Languages in 2020,2020-02-01,92692,2328,243
256,Socket Programming Using Python,2020-01-30,209869,5019,325
257,Dictionary in Python,2020-01-28,915456,15543,631
258,Ask Anything   Sunday Live,2020-01-19,7705,318,37
259,Sunday Live,2020-01-12,8561,334,35
260,Python 2 End of Support in 2020,2020-01-10,10553,324,42
261,Top 5 Technologies in 2020,2020-01-04,151278,3472,179
262,Telusko Rewind 2019   Why it was amazing?,2019-12-31,85018,3322,327
263,Sunday Live,2019-12-29,7641,300,48
264,First Application on Hyperledger Fabric   Blockchain,2019-12-28,34770,411,37
265,Blockchain in Healthcare   Use Case,2019-12-13,40283,1075,75
266,What is Hyperledger Fabric?   Blockchain,2019-12-05,95225,1992,90
267,Live with JavaBrains,2019-12-01,20645,768,63
268,Build Your First Network   Hyperledger Fabric   Blockchain,2019-11-30,30361,479,59
269,Getting Started with Hyperledger Fabric and Installation   Blockchain,2019-11-29,48466,920,67
270,Machine Learning Q&A Live,2019-11-25,23466,1105,96
271,Sunday Live,2019-11-24,9501,497,28
272,Machine Learning Q&A on Sunday,2019-11-21,4912,187,59
273,Sunday Live,2019-11-17,5815,194,23
274,GET TO - 2 Words For Success,2019-11-14,9838,541,37
275,Blockchain Adoption   Live,2019-11-12,4306,162,21
276,Sunday Live,2019-11-10,7246,346,28
277,Quiz & Fun   Pune Meetup,2019-11-08,9077,301,23
278,My Thoughts on Machine Learning   Pune Meetup,2019-10-26,37780,1169,121
279,Why Blockchain?   Pune Meetup,2019-10-24,14512,513,43
280,TCS will PAY DOUBLE to hot TALENT,2019-10-23,66428,2011,213
281,Ask Anything   Saturday Live   Pune Meetup Update,2019-10-19,3911,109,15
282,Ask Anything   Sunday Live,2019-10-13,4843,187,31
283,Programming Language Is Not Just A Tool,2019-10-11,9113,480,51
284,Update   Pune Meetup   Telusko,2019-10-11,2754,68,21
285,Struct In Go   Golang,2019-10-09,9520,177,29
286,Defer Function Call   Golang,2019-10-09,6606,143,10
287,Go Tutorial Basic   Golang,2019-10-07,112606,2203,193
288,Ask Anything   Sunday Live,2019-10-06,4105,217,42
289,Quiz 3.0   Bengaluru MeetUp   Telusko,2019-10-02,6801,160,17
290,Quiz 2.0   Bengaluru Meetup   Telusko,2019-10-01,8926,282,15
291,More Than 1300 videos   Live,2019-09-29,5202,236,14
292,Bengaluru MeetUp Quiz   Telusko,2019-09-27,32537,872,65
293,If Else Switch   Golang,2019-09-19,5810,144,32
294,Math Package   Golang,2019-09-18,5293,140,16
295,Bengaluru Meetup Update   Telusko,2019-09-16,4015,149,36
296,Exported Names   Golang,2019-09-14,5404,155,26
297,Loop in Go   Golang,2019-09-14,6981,203,26
298,Variable Scope Function Package Level   Golang,2019-09-13,4882,134,65
299,Functions in Go   Golang,2019-09-13,8445,213,22
300,Variables and Constants in Go   Golang,2019-09-12,9490,269,34
301,First Code In Go   Golang,2019-09-11,16361,390,55
302,Go Installation   Golang,2019-09-10,39223,657,79
303,Ask Anything   Live,2019-09-08,7021,333,81
304,The Most Promising language   Golang,2019-09-06,106743,2561,541
305,Spring Boot And Kotlin Example   Autowired   2,2019-09-02,6042,127,26
306,Spring Boot And Kotlin Example   1,2019-09-01,18350,337,35
307,Ask Anything   Sunday Live,2019-08-25,7426,342,55
308,They Are Listening To You,2019-08-19,11104,485,50
309,Ask Anything   Live,2019-08-18,8159,617,81
310,Best Books For Python,2019-08-13,165893,4210,232
311,Live 2,2019-08-11,4201,184,16
312,College Seminar Session   Live,2019-08-11,5401,322,12
313,T Shaped Developer,2019-08-06,24438,991,90
314,Ask Anything   Live,2019-08-04,9370,598,50
315,Where was I?   Live,2019-07-28,11847,690,32
316,IDE or Notepad for Learning Programming?,2019-07-19,14217,507,52
317,Which Java Version to Learn?   Java 13?,2019-07-18,40381,928,66
318,What is Software Testing?,2019-07-17,246214,5145,186
319,Why Software Testing?,2019-07-15,24111,652,61
320,Ask Anything   Saturday Live,2019-07-13,7637,480,85
321,IS Java Functional Programming?   What about Python?,2019-07-12,21133,812,79
322,Observer Design Pattern in Java,2019-07-11,116108,3032,150
323,What is Pure and Impure Function?,2019-07-10,12195,410,23
324,How to Be Tech Corporate Trainer?,2019-07-05,28746,903,73
325,Project Lombok   GoodBye Boilerplate Code,2019-07-04,75835,1901,124
326,Thread Safety in Java,2019-07-02,64942,2107,91
327,What is Scrum?   Agile,2019-06-22,834553,19160,447
328,Libra by Facebook   Bitcoin Killer?   is it Safe?   White Paper,2019-06-19,6600,212,14
329,Blockchain Technology Tutorial   Explained,2019-06-18,115786,2419,110
330,Java 9   What's New,2019-06-18,8251,251,27
331,Rest API   Web Service Tutorial,2019-06-16,912405,12113,411
332,Git Tutorial for Beginners,2019-06-15,665758,10873,271
333,Quick Live !!,2019-06-15,5595,361,40
334,Spring MVC Tutorial   Full Course,2019-06-14,768118,9790,558
335,Spring Framework Tutorial   Full Course,2019-06-13,1531388,26147,883
336,Servlet & JSP Tutorial   Full Course,2019-06-13,1030568,14529,686
337,Scala Tutorial Full Course,2019-06-11,165748,2670,119
338,Hibernate Tutorial   Full Course,2019-06-11,945774,14685,747
339,Spring Security Tutorial,2019-06-10,220592,3094,209
340,Spring Boot Tutorials   Full Course,2019-06-07,2198767,29169,1778
341,Django Tutorial for Beginners   Full Course,2019-06-06,1627796,23390,2366
342,  9 Django tutorials   Model View Template in Django   MVT,2019-06-04,139335,2787,70
343,  25 Django Tutorials   User Logout,2019-06-03,112581,1990,435
344,  24 Django tutorials   User login,2019-06-02,145721,1582,116
345,How NOT to Email your Resume   CV,2019-06-01,181251,3783,69
346,  23 Django tutorials   Passing Messages,2019-06-01,90547,1013,69
347,  22 Django tutorials   User Registration - 2,2019-05-31,128959,1367,194
348,  21 Django tutorials   User Registration - 1,2019-05-31,208694,2019,142
349,Am I Too Old To Learn To Code?,2019-05-30,12028,526,71
350,Best Laptops for Programming in 2019,2019-05-28,28661,771,144
351,  20 Django tutorials   Add and Fetch data from Database,2019-05-25,167464,1736,192
352,  19 Django tutorials   Admin Panel,2019-05-25,122106,1530,131
353,Privacy on Internet   My Thoughts,2019-05-24,6761,267,22
354,  18 Django tutorials   Re-Migration,2019-05-24,78062,837,28
355,  17 Django tutorials   Models and Migrations,2019-05-24,170132,1837,219
356,  15 Django tutorials   ORM   Object Relational Mapper   Theory,2019-05-23,121827,2805,115
357,  14 Django tutorials   If Statement,2019-05-23,70756,984,37
358,  16 Django tutorials   Postgres and PgAdmin Setup,2019-05-22,146957,1595,119
359,Hot Storage vs Cold Storage   Cloud,2019-05-21,9208,355,27
360,  13 Django tutorials   Passing Dynamic Data in Html - part 2,2019-05-20,89254,1245,109
361,  12 Django tutorials   Passing Dynamic Data in Html part 1,2019-05-19,136898,1568,116
362,  11 Django tutorials   Static Files - 2,2019-05-17,153528,2070,541
363,  10 Django tutorials   Static Files - 1,2019-05-16,177994,1884,128
364,Kotlin Tutorial for Beginners   Full Course,2019-05-16,233784,4894,217
365,  8 Django tutorials   GET vs POST   HTTP Methods,2019-05-14,148837,2225,97
366,  7 Django tutorials   Addition of Two Numbers in Django,2019-05-13,162137,2009,240
367,  6 Django tutorials   Django Template Language - part 2,2019-05-13,149431,1571,153
