,Title,Publised_date,Views,Likes,Comments
162,Ask me Anything live,2021-06-05,47012,2192,55
163,Ask me Anything!!! Live,2021-06-05,14127,658,31
164,#19 Objects in JavaScript,2021-06-04,62872,1665,69
165,#18 While vs For Loop | Which to use and When?,2021-06-03,31722,697,85
166,#17 For Loop in JavaScript,2021-06-02,31939,659,33
167,#16 While loop in JavaScript,2021-05-30,33181,725,64
168,🔴Learn Java Live | Object Oriented Programming,2021-05-29,35013,1539,25
169,#15 Template Literal in JavaScript,2021-05-28,30605,843,50
170,#14 Switch Statement in JavaScript,2021-05-27,39059,949,102
171,#13 Ternary Operator in JavaScript,2021-05-26,30659,723,36
172,#12 Conditional Statements If Else in JavaScript,2021-05-25,39097,830,84
173,#11 Logical Operators in JavaScript,2021-05-24,29986,725,44
174,🔴Learn Java Live | Beyond Basics | for Beginners 🖖🏼,2021-05-23,40008,1987,21
175,🔴Learn Java Live | Basics | for Beginners 🖖🏼,2021-05-23,73080,3722,46
176,#10 Relational operators in JavaScript,2021-05-22,32751,875,54
177,Why Java on Sunday? | Poll Results,2021-05-21,12140,710,59
178,#9 Arithmetic Operators in JavaScript,2021-05-20,36444,950,70
179,#8 Type Conversion & Coercion in JavaScript,2021-05-19,52197,1394,93
180,Ask me Anything | Sunday Live,2021-05-16,37220,1702,43
181,History of JavaScript,2021-05-15,47318,2043,165
182,#6 Data Types in JavaScript - 2 | JavaScript Tutorial,2021-05-12,50970,1305,76
183,#5 Data Types in JavaScript - 1 | JavaScript Tutorial,2021-05-12,65167,1702,85
184,#4 Constants in JavaScript,2021-05-09,57316,1579,85
185,#3 Variables in JavaScript,2021-05-09,97536,2727,171
186,Saturday Live with Parth Chadha | Entrepreneur,2021-05-08,8294,364,10
187,Writing a Cordapp | R3 Corda Blockchain | part 2,2021-05-07,4628,92,10
188,"#2 NodeJS, VS Code Installation | JavaScript Tutorial",2021-05-06,145097,2768,238
189,#1 Getting Started | JavaScript Tutorial for Beginners,2021-05-06,126492,3157,173
190,Writing a Cordapp | R3 Corda Blockchain | part 1,2021-05-05,9178,148,13
191,#0 JavaScript Tutorial for Beginners | Introduction,2021-05-04,243556,5917,452
192,Sunday Live,2021-05-02,25020,995,33
193,Exploring Cordapp,2021-05-01,7454,156,22
194,Corda Key Concepts,2021-04-29,7095,211,16
195,Exciting Announcement | Live,2021-04-28,11308,504,64
196,More about Corda | R3,2021-04-26,10726,306,24
197,"DevOps, Cloud, Java with In28Minutes | Live Q&A",2021-04-24,28710,973,31
198,MicroServices Q&A with JavaBrains | Live,2021-04-22,120914,3342,176
199,Ask Anything Live,2021-04-18,26127,1149,32
200,Rise of Ethereum | Altcoin,2021-04-11,11778,420,69
201,Live Not Alone,2021-04-10,59218,3197,171
202,Cracking the code - learn to code from scratch #LearningMarathon2021,2021-04-03,35946,2084,54
203,What is Corda? | Enterprise Blockchain,2021-04-02,23144,714,55
204,India 2024 Elections vote from Mobile? | Blockchain based E-Voting,2021-03-29,21682,717,30
205,Agile Scrum Basics | Live with Mohammed Rowther,2021-03-27,10329,431,15
206,What are NFTs? | Jack's Tweet sold for $3M,2021-03-24,14701,571,44
207,Live,2021-03-09,31194,1785,50
208,Best Programming Language for Beginners?,2021-01-30,130382,2908,284
209,Ethereum 2.0 is here | What's New | Why,2021-01-27,11654,420,52
210,Blockchain | Hyperledger Fabric Key Concepts - 2,2020-12-08,12857,255,118
211,Blockchain | Hyperledger Fabric Key Concepts - 1,2020-12-07,13663,290,33
212,Education Post Covid,2020-11-18,15234,691,69
213,Don’t steal their Childhood,2020-10-23,57471,3169,278
214,Ask Me Anything | Sunday Live,2020-10-04,26316,1392,110
215,Python for Data Science Live on Great Learning Academy,2020-08-21,31692,1225,115
216,Important Announcement Regarding Python Live Sessions,2020-08-13,26908,1125,109
217,Sunday Evening Live with Navin,2020-08-09,18244,873,64
218,Macbook Pro 2020 13 inch | is it worth it?,2020-07-27,42880,1238,220
219,Gold Button | Sunday Live,2020-07-19,40218,2368,265
220,Docker tutorial for Beginners,2020-07-16,139102,2750,102
221,Docker Installation on Windows,2020-07-15,31284,476,57
222,Telusko Live Stream,2020-07-12,21004,1064,73
223,Its a Million,2020-06-18,22928,1931,321
224,9 Books in 2 Months,2020-06-02,37845,1503,173
225,Node JS Tutorial | Crash Course,2020-05-29,199377,4102,215
226,Should I learn Deno or Node?,2020-05-20,12764,376,44
227,DENO is here | DONE with NODE?,2020-05-17,22909,784,107
228,How Node JS Works?,2020-05-15,135595,4711,223
229,CRUD REST API using Node | Express | MongoDB,2020-05-10,260915,5067,346
230,Express in Node js | Web Framework,2020-05-04,107335,2677,150
231,Telusko 6th Anniversary,2020-04-30,9621,1042,290
232,fs (File System) Module in Node JS,2020-04-28,69088,1285,82
233,Modules in Node JS,2020-04-27,56745,1342,64
234,What is NPM? | Node JS,2020-04-26,85745,2003,86
235,Learning 3X,2020-04-25,22653,1015,89
236,Getting Started with Node JS,2020-04-24,121846,2500,164
237,Node JS Installation,2020-04-22,336849,4219,183
238,What is Node js? | Simplified Explanation,2020-04-20,511159,15662,752
239,ONLINE Education 2.0 | Live,2020-04-16,9987,334,39
240,Dockerize Django App,2020-04-14,36022,665,61
241,Creating Django App on Docker,2020-04-13,48823,848,58
242,Java 14 | IntelliJ IDEA | Telusko Edutech,2020-04-11,7879,188,24
243,Docker Architecture | Components,2020-04-07,35418,612,44
244,Sunday Live (Ask Anything),2020-04-05,7080,407,51
245,Docker Pull | Delete | Ubuntu Image,2020-04-03,19200,267,18
246,Docker Installation On Ubuntu? | Linux,2020-04-02,56727,656,45
247,What is Docker?,2020-03-31,395119,10976,490
248,DLT vs Blockchain vs Bitcoin,2020-03-06,20343,650,72
249,Sunday Live | Ask Anything,2020-02-23,8234,300,51
250,Angular for Beginners | Shalini Mittal,2020-02-22,69711,1441,81
251,Abstract Class and Abstract Method in Python,2020-02-21,246569,4608,258
252,Zip Function in Python,2020-02-20,99965,2385,70
253,Sunday Live | Ask Anything,2020-02-16,6912,284,28
254,Sunday Live,2020-02-02,7969,338,29
255,Top 5 Programming Languages in 2020,2020-02-01,92689,2328,243
256,Socket Programming Using Python,2020-01-30,209728,5018,325
257,Dictionary in Python,2020-01-28,914868,15531,626
258,Ask Anything | Sunday Live,2020-01-19,7705,318,37
259,Sunday Live,2020-01-12,8561,334,35
260,Python 2 End of Support in 2020,2020-01-10,10553,324,42
261,Top 5 Technologies in 2020,2020-01-04,151276,3472,179
262,Telusko Rewind 2019 | Why it was amazing?,2019-12-31,84998,3322,327
263,Sunday Live,2019-12-29,7641,300,48
264,First Application on Hyperledger Fabric | Blockchain,2019-12-28,34745,411,37
265,Blockchain in Healthcare | Use Case,2019-12-13,40246,1073,75
266,What is Hyperledger Fabric? | Blockchain,2019-12-05,95138,1992,90
267,Live with JavaBrains,2019-12-01,20642,768,63
268,Build Your First Network | Hyperledger Fabric | Blockchain,2019-11-30,30338,479,59
269,Getting Started with Hyperledger Fabric and Installation | Blockchain,2019-11-29,48424,920,67
270,Machine Learning Q&A Live,2019-11-25,23466,1105,96
271,Sunday Live,2019-11-24,9501,497,28
272,Machine Learning Q&A on Sunday,2019-11-21,4912,187,59
273,Sunday Live,2019-11-17,5815,194,23
274,GET TO - 2 Words For Success,2019-11-14,9838,541,37
275,Blockchain Adoption | Live,2019-11-12,4306,162,21
276,Sunday Live,2019-11-10,7246,346,28
277,Quiz & Fun | Pune Meetup,2019-11-08,9077,301,23
278,My Thoughts on Machine Learning | Pune Meetup,2019-10-26,37780,1169,121
279,Why Blockchain? | Pune Meetup,2019-10-24,14512,513,43
280,TCS will PAY DOUBLE to hot TALENT,2019-10-23,66428,2011,213
281,Ask Anything | Saturday Live | Pune Meetup Update,2019-10-19,3911,109,15
282,Ask Anything | Sunday Live,2019-10-13,4843,187,31
283,Programming Language Is Not Just A Tool,2019-10-11,9113,480,51
284,Update | Pune Meetup | Telusko,2019-10-11,2754,68,21
285,Struct In Go | Golang,2019-10-09,9519,177,30
286,Defer Function Call | Golang,2019-10-09,6600,143,10
287,Go Tutorial Basic | Golang,2019-10-07,112522,2202,193
288,Ask Anything | Sunday Live,2019-10-06,4105,217,42
289,Quiz 3.0 | Bengaluru MeetUp | Telusko,2019-10-02,6801,160,17
290,Quiz 2.0 | Bengaluru Meetup | Telusko,2019-10-01,8926,282,15
291,More Than 1300 videos | Live,2019-09-29,5202,236,14
292,Bengaluru MeetUp Quiz | Telusko,2019-09-27,32537,872,65
293,If Else Switch | Golang,2019-09-19,5809,144,32
294,Math Package | Golang,2019-09-18,5293,140,16
295,Bengaluru Meetup Update | Telusko,2019-09-16,4015,149,36
296,Exported Names | Golang,2019-09-14,5402,155,26
297,Loop in Go | Golang,2019-09-14,6977,203,26
298,Variable Scope Function Package Level | Golang,2019-09-13,4879,134,65
299,Functions in Go | Golang,2019-09-13,8443,213,22
300,Variables and Constants in Go | Golang,2019-09-12,9488,269,34
301,First Code In Go | Golang,2019-09-11,16357,390,55
302,Go Installation | Golang,2019-09-10,39206,657,79
303,Ask Anything | Live,2019-09-08,7021,333,81
304,The Most Promising language | Golang,2019-09-06,106710,2561,541
305,Spring Boot And Kotlin Example | Autowired #2,2019-09-02,6041,127,26
306,Spring Boot And Kotlin Example #1,2019-09-01,18346,337,35
307,Ask Anything | Sunday Live,2019-08-25,7426,342,55
308,They Are Listening To You,2019-08-19,11104,485,50
309,Ask Anything | Live,2019-08-18,8159,617,81
310,Best Books For Python,2019-08-13,165833,4210,232
311,Live 2,2019-08-11,4201,184,16
312,College Seminar Session | Live,2019-08-11,5401,322,12
313,T Shaped Developer,2019-08-06,24437,991,90
314,Ask Anything | Live,2019-08-04,9370,598,50
315,Where was I? | Live,2019-07-28,11847,690,32
316,IDE or Notepad for Learning Programming?,2019-07-19,14215,507,52
317,Which Java Version to Learn? | Java 13?,2019-07-18,40376,928,66
318,What is Software Testing?,2019-07-17,246099,5141,186
319,Why Software Testing?,2019-07-15,24102,651,61
320,Ask Anything | Saturday Live,2019-07-13,7637,480,85
321,IS Java Functional Programming? | What about Python?,2019-07-12,21123,811,79
322,Observer Design Pattern in Java,2019-07-11,116042,3031,150
323,What is Pure and Impure Function?,2019-07-10,12192,410,23
324,How to Be Tech Corporate Trainer?,2019-07-05,28721,903,73
325,Project Lombok | GoodBye Boilerplate Code,2019-07-04,75806,1901,124
326,Thread Safety in Java,2019-07-02,64890,2106,91
327,What is Scrum? | Agile,2019-06-22,833706,19143,447
328,Libra by Facebook | Bitcoin Killer? | is it Safe? | White Paper,2019-06-19,6600,212,14
329,Blockchain Technology Tutorial | Explained,2019-06-18,115648,2417,110
330,Java 9 | What's New,2019-06-18,8251,251,27
331,Rest API | Web Service Tutorial,2019-06-16,911910,12103,411
332,Git Tutorial for Beginners,2019-06-15,665403,10872,271
333,Quick Live!!!!!!,2019-06-15,5595,361,40
334,Spring MVC Tutorial | Full Course,2019-06-14,767649,9785,558
335,Spring Framework Tutorial | Full Course,2019-06-13,1530232,26131,882
336,Servlet & JSP Tutorial | Full Course,2019-06-13,1029768,14518,687
337,Scala Tutorial Full Course,2019-06-11,165615,2670,119
338,Hibernate Tutorial | Full Course,2019-06-11,945164,14677,747
339,Spring Security Tutorial,2019-06-10,220472,3090,209
340,Spring Boot Tutorials | Full Course,2019-06-07,2196928,29149,1777
341,Django Tutorial for Beginners | Full Course,2019-06-06,1627205,23384,2366
342,#9 Django tutorials | Model View Template in Django | MVT,2019-06-04,139276,2786,70
343,#25 Django Tutorials | User Logout,2019-06-03,112548,1990,435
344,#24 Django tutorials | User login,2019-06-02,145684,1581,116
345,How NOT to Email your Resume | CV,2019-06-01,181190,3778,69
346,#23 Django tutorials | Passing Messages,2019-06-01,90523,1013,69
347,#22 Django tutorials | User Registration - 2,2019-05-31,128925,1367,194
348,#21 Django tutorials | User Registration - 1,2019-05-31,208613,2018,142
349,Am I Too Old To Learn To Code?,2019-05-30,12028,526,71
350,Best Laptops for Programming in 2019,2019-05-28,28661,771,144
351,#20 Django tutorials | Add and Fetch data from Database,2019-05-25,167424,1735,192
352,#19 Django tutorials | Admin Panel,2019-05-25,122055,1530,131
353,Privacy on Internet | My Thoughts,2019-05-24,6760,267,22
354,#18 Django tutorials | Re-Migration,2019-05-24,78039,836,28
355,#17 Django tutorials | Models and Migrations,2019-05-24,170063,1837,218
356,#15 Django tutorials | ORM | Object Relational Mapper | Theory,2019-05-23,121763,2804,115
357,#14 Django tutorials | If Statement,2019-05-23,70735,984,37
358,#16 Django tutorials | Postgres and PgAdmin Setup,2019-05-22,146893,1594,119
359,Hot Storage vs Cold Storage | Cloud,2019-05-21,9206,355,27
360,#13 Django tutorials | Passing Dynamic Data in Html - part 2,2019-05-20,89230,1245,109
361,#12 Django tutorials | Passing Dynamic Data in Html part 1,2019-05-19,136847,1568,116
362,#11 Django tutorials | Static Files - 2,2019-05-17,153490,2070,541
363,#10 Django tutorials | Static Files - 1,2019-05-16,177947,1884,128
364,Kotlin Tutorial for Beginners | Full Course,2019-05-16,233715,4894,217
365,#8 Django tutorials | GET vs POST | HTTP Methods,2019-05-14,148784,2225,97
366,#7 Django tutorials | Addition of Two Numbers in Django,2019-05-13,162092,2009,241
367,#6 Django tutorials | Django Template Language - part 2,2019-05-13,149389,1571,153
368,Machine Learning | Deep Learning Applications | Live,2019-05-12,11628,500,7
369,Saturday Live,2019-05-11,4546,281,24
370,#5 Django tutorials | Django Template Language | DTL,2019-05-11,234443,2765,365
371,#4 Django tutorials | First App Django - part 2,2019-05-09,321368,2945,556
372,Kotlin vs Java for Android Developers,2019-05-09,28290,992,60
373,#3 Django tutorials | First App in Django - part 1,2019-05-08,511751,4877,528
374,Java Tutorial for Beginners | Full Course,2019-05-05,3916149,64771,1887
375,Ask Anything | Saturday Live,2019-05-04,4515,344,35
376,How Netflix uses Python? | Power of Python,2019-05-04,21732,833,55
377,#2 Django tutorials | Setup,2019-05-02,586492,7877,597
378,#1 Django tutorials | What is Django? | Python Web Framework,2019-04-27,834050,11203,378
379,500k | Quality Matters Not Quantity,2019-04-26,3705,224,25
380,Screen Recording Softwares,2019-04-20,12907,372,36
381,JavaScript Tutorial for Beginners | Full Course,2019-04-17,362574,7709,260
382,Python for Beginners | Full Course,2019-04-07,1457510,29486,891
383,Smart Contract with Web Front End Part 2 Blockchain,2019-04-06,29520,532,127
384,Smart Contract with Front End | Blockchain,2019-04-06,84105,1595,158
385,First Smart Contract part 3 | RinkeBy | Ethereum | Blockchain,2019-04-06,29913,419,32
386,First Smart Contract part 2 | Remix | Ethereum | Blockchain,2019-04-03,44725,485,39
387,First Smart Contract part 1 | Metamask setup | Blockchain | Ethereum,2019-04-01,65729,1048,63
388,Microphone for Recording Lectures,2019-03-31,26248,392,29
389,Best Camera for Recording Educational Videos,2019-03-29,60049,818,56
390,How to make an Educational Video?,2019-03-27,18092,458,59
391,#62 Python Tutorial for Beginners | Generators,2019-03-25,215257,3908,122
392,What is Hyperledger?,2019-03-23,39352,971,49
393,#61 Python Tutorial for Beginners | Iterator,2019-03-22,259275,4013,254
394,Drawbacks of Blockchain,2019-03-20,52854,1577,93
395,How to get a IT Job as a Fresher?,2019-03-18,437676,14362,520
396,#44 Python Tutorial for Beginners | Decorators,2019-03-17,440659,7900,419
397,Quick LIVE Q&A,2019-03-16,3564,336,15
398,#25 Python Tutorial for Beginners | Prime Number in Python,2019-03-15,661104,10082,983
399,#24 Python Tutorial for Beginners | For Else in Python,2019-03-15,391555,6641,239
400,Kalyan (Thane) Meetup,2019-03-13,2225,91,15
401,#38 Python Tutorial for Beginners | Fibonacci Sequence,2019-03-13,570004,9644,1223
402,Smart Contract | Ethereum | Blockchain,2019-03-12,86160,2013,78
403,What is Ethereum? | Blockchain,2019-03-11,76211,1805,65
404,Proof of Work in Blockchain,2019-03-10,81972,1538,59
405,Ask ANYTHING | LIVE,2019-03-09,7293,470,53
406,Consensus in Blockchain,2019-02-25,77955,2034,64
407,Saturday LIVE,2019-02-23,6260,466,22
408,What after Python?,2019-02-19,426610,15898,611
409,Mumbai Meetup | 22nd Feb,2019-02-17,2333,66,31
410,TEDx | Award | Tour | Now Im Back,2019-02-16,4698,220,34
411,Future of Education | Online | AR | AI,2019-02-16,5968,267,53
412,Theming Theme Roller Customizations in JQuery UI,2019-02-16,33251,647,127
413,Delhi Meetup | 8th Feb,2019-02-07,2415,70,21
414,Spring Boot Security OAuth 2,2019-02-04,124950,1189,85
