,Title,Publised_date,Views,Likes,Comments
188,"#2 NodeJS, VS Code Installation | JavaScript Tutorial",2021-05-06,145770,2782,238
189,#1 Getting Started | JavaScript Tutorial for Beginners,2021-05-06,126910,3165,173
190,Writing a Cordapp | R3 Corda Blockchain | part 1,2021-05-05,9190,148,13
191,#0 JavaScript Tutorial for Beginners | Introduction,2021-05-04,244393,5929,452
192,Sunday Live,2021-05-02,25022,995,33
193,Exploring Cordapp,2021-05-01,7474,156,22
194,Corda Key Concepts,2021-04-29,7112,211,16
195,Exciting Announcement | Live,2021-04-28,11308,504,64
196,More about Corda | R3,2021-04-26,10741,307,24
197,"DevOps, Cloud, Java with In28Minutes | Live Q&A",2021-04-24,28717,973,31
198,MicroServices Q&A with JavaBrains | Live,2021-04-22,120984,3343,176
199,Ask Anything Live,2021-04-18,26127,1149,32
200,Rise of Ethereum | Altcoin,2021-04-11,11779,420,69
201,Live Not Alone,2021-04-10,59219,3197,171
202,Cracking the code - learn to code from scratch #LearningMarathon2021,2021-04-03,35947,2084,54
203,What is Corda? | Enterprise Blockchain,2021-04-02,23179,714,55
204,India 2024 Elections vote from Mobile? | Blockchain based E-Voting,2021-03-29,21717,719,30
205,Agile Scrum Basics | Live with Mohammed Rowther,2021-03-27,10332,431,15
206,What are NFTs? | Jack's Tweet sold for $3M,2021-03-24,14720,571,44
207,Live,2021-03-09,31194,1785,50
208,Best Programming Language for Beginners?,2021-01-30,130388,2908,284
209,Ethereum 2.0 is here | What's New | Why,2021-01-27,11654,420,52
210,Blockchain | Hyperledger Fabric Key Concepts - 2,2020-12-08,12863,255,118
211,Blockchain | Hyperledger Fabric Key Concepts - 1,2020-12-07,13676,290,33
212,Education Post Covid,2020-11-18,15235,691,69
213,Don’t steal their Childhood,2020-10-23,57471,3169,278
214,Ask Me Anything | Sunday Live,2020-10-04,26316,1392,110
215,Python for Data Science Live on Great Learning Academy,2020-08-21,31694,1225,115
216,Important Announcement Regarding Python Live Sessions,2020-08-13,26908,1125,109
217,Sunday Evening Live with Navin,2020-08-09,18244,873,64
218,Macbook Pro 2020 13 inch | is it worth it?,2020-07-27,42880,1238,220
219,Gold Button | Sunday Live,2020-07-19,40218,2368,265
220,Docker tutorial for Beginners,2020-07-16,139388,2753,102
221,Docker Installation on Windows,2020-07-15,31308,476,57
222,Telusko Live Stream,2020-07-12,21004,1064,73
223,Its a Million,2020-06-18,22928,1931,321
224,9 Books in 2 Months,2020-06-02,37845,1503,173
225,Node JS Tutorial | Crash Course,2020-05-29,199729,4107,215
226,Should I learn Deno or Node?,2020-05-20,12764,376,44
227,DENO is here | DONE with NODE?,2020-05-17,22910,784,107
228,How Node JS Works?,2020-05-15,135820,4719,223
229,CRUD REST API using Node | Express | MongoDB,2020-05-10,261367,5076,346
230,Express in Node js | Web Framework,2020-05-04,107496,2680,150
231,Telusko 6th Anniversary,2020-04-30,9621,1042,290
232,fs (File System) Module in Node JS,2020-04-28,69187,1286,82
233,Modules in Node JS,2020-04-27,56833,1343,64
234,What is NPM? | Node JS,2020-04-26,85860,2004,86
235,Learning 3X,2020-04-25,22654,1015,89
236,Getting Started with Node JS,2020-04-24,121960,2502,164
237,Node JS Installation,2020-04-22,337251,4222,183
238,What is Node js? | Simplified Explanation,2020-04-20,511738,15677,752
239,ONLINE Education 2.0 | Live,2020-04-16,9988,334,39
240,Dockerize Django App,2020-04-14,36058,665,61
241,Creating Django App on Docker,2020-04-13,48860,849,58
242,Java 14 | IntelliJ IDEA | Telusko Edutech,2020-04-11,7880,188,24
243,Docker Architecture | Components,2020-04-07,35457,613,44
244,Sunday Live (Ask Anything),2020-04-05,7080,407,51
245,Docker Pull | Delete | Ubuntu Image,2020-04-03,19222,267,18
246,Docker Installation On Ubuntu? | Linux,2020-04-02,56770,656,45
247,What is Docker?,2020-03-31,395366,10987,490
248,DLT vs Blockchain vs Bitcoin,2020-03-06,20356,651,72
249,Sunday Live | Ask Anything,2020-02-23,8234,300,51
250,Angular for Beginners | Shalini Mittal,2020-02-22,69811,1442,81
251,Abstract Class and Abstract Method in Python,2020-02-21,247005,4612,258
252,Zip Function in Python,2020-02-20,100069,2389,70
253,Sunday Live | Ask Anything,2020-02-16,6912,284,28
254,Sunday Live,2020-02-02,7969,338,29
255,Top 5 Programming Languages in 2020,2020-02-01,92694,2328,243
256,Socket Programming Using Python,2020-01-30,210002,5024,325
257,Dictionary in Python,2020-01-28,916049,15553,631
258,Ask Anything | Sunday Live,2020-01-19,7705,318,37
259,Sunday Live,2020-01-12,8561,334,35
260,Python 2 End of Support in 2020,2020-01-10,10553,324,42
261,Top 5 Technologies in 2020,2020-01-04,151279,3472,179
262,Telusko Rewind 2019 | Why it was amazing?,2019-12-31,85038,3322,327
263,Sunday Live,2019-12-29,7641,300,48
